,Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,State
192,ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),42.5,,43.4,,,,,42.7,,,New South Wales
193,ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),16.8,,17.4,,,,,20.3,,,New South Wales
194,ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),40.7,,39.2,,,,,37.0,,,New South Wales
195,ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (Closing the Gap measure) (%),53.5,,64.3,,,,,69.3,,,New South Wales
220,ING_DISAB3,Disability status,Schooling/employment restriction only (no.),,,,,,15511.0,,,,,New South Wales
280,CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,,,12472.0,12950.0,13774.0,14653.0,14839.0,New South Wales
341,EMP_IND_2,Industry of employment - Persons aged 15 years and over - Census,"Agriculture, forestry and fishing (%)",2.2,,2.1,,,,,2.0,,,New South Wales
342,EMP_IND_3,Industry of employment - Persons aged 15 years and over - Census,Mining (%),1.0,,0.9,,,,,1.0,,,New South Wales
343,EMP_IND_4,Industry of employment - Persons aged 15 years and over - Census,Manufacturing (%),8.4,,5.8,,,,,5.5,,,New South Wales
344,EMP_IND_5,Industry of employment - Persons aged 15 years and over - Census,"Electricity, gas, water and waste services (%)",1.1,,0.9,,,,,1.0,,,New South Wales
345,EMP_IND_6,Industry of employment - Persons aged 15 years and over - Census,Construction (%),7.3,,8.4,,,,,8.6,,,New South Wales
346,EMP_IND_7,Industry of employment - Persons aged 15 years and over - Census,Wholesale trade (%),4.4,,3.1,,,,,2.8,,,New South Wales
347,EMP_IND_8,Industry of employment - Persons aged 15 years and over - Census,Retail trade (%),10.3,,9.7,,,,,9.0,,,New South Wales
348,EMP_IND_9,Industry of employment - Persons aged 15 years and over - Census,Accommodation and food services (%),6.7,,7.1,,,,,6.2,,,New South Wales
349,EMP_IND_10,Industry of employment - Persons aged 15 years and over - Census,"Transport, postal and warehousing (%)",4.9,,4.7,,,,,4.6,,,New South Wales
350,EMP_IND_11,Industry of employment - Persons aged 15 years and over - Census,Information media and telecommunications (%),2.3,,2.2,,,,,1.8,,,New South Wales
351,EMP_IND_12,Industry of employment - Persons aged 15 years and over - Census,Financial and insurance services (%),5.0,,4.9,,,,,5.3,,,New South Wales
352,EMP_IND_13,Industry of employment - Persons aged 15 years and over - Census,"Rental, hiring and real estate services (%)",1.6,,1.8,,,,,1.7,,,New South Wales
353,EMP_IND_14,Industry of employment - Persons aged 15 years and over - Census,"Professional, scientific and technical services (%)",7.9,,8.1,,,,,8.9,,,New South Wales
354,EMP_IND_15,Industry of employment - Persons aged 15 years and over - Census,Administrative and support services (%),3.3,,3.5,,,,,3.2,,,New South Wales
355,EMP_IND_16,Industry of employment - Persons aged 15 years and over - Census,Public administration and safety (%),6.1,,6.0,,,,,6.1,,,New South Wales
356,EMP_IND_17,Industry of employment - Persons aged 15 years and over - Census,Education and training (%),7.9,,8.4,,,,,8.7,,,New South Wales
357,EMP_IND_18,Industry of employment - Persons aged 15 years and over - Census,Health care and social assistance (%),11.6,,12.5,,,,,14.4,,,New South Wales
358,EMP_IND_19,Industry of employment - Persons aged 15 years and over - Census,Arts and recreation services (%),1.5,,1.5,,,,,1.4,,,New South Wales
359,EMP_IND_20,Industry of employment - Persons aged 15 years and over - Census,Other services (%),3.7,,3.7,,,,,3.4,,,New South Wales
360,EMP_IND_22,Industry of employment - Persons aged 15 years and over - Census,Industry of employment inadequately described or not stated (%),2.5,,4.7,,,,,4.6,,,New South Wales
361,EMP_IND_21,Industry of employment - Persons aged 15 years and over - Census,Total persons employed aged 15 years and over (no.),3138332.0,,3380336.0,,,,,3684158.0,,,New South Wales
447,HELP_2,Higher Education Loan Program (HELP) - year ended 30 June,Persons who made a HELP repayment (no.),,,,193264.0,200441.0,256082.0,319572.0,344339.0,348582.0,,New South Wales
466,LEED_20,Jobs in Australia - year ended 30 June,Number of employee jobs - education and training,,,419885.0,430935.0,425850.0,436628.0,455420.0,,,,New South Wales
478,SCHOOL_2,Non-school qualifications - Persons aged 15 years and over - Census,Total persons with non-school qualification(s) (%),57.2,,60.9,,,,,64.1,,,New South Wales
479,SCHOOL_3,Non-school qualifications - Persons aged 15 years and over - Census,Postgraduate degree (%),4.3,,5.7,,,,,7.4,,,New South Wales
480,SCHOOL_4,Non-school qualifications - Persons aged 15 years and over - Census,Graduate diploma/graduate certificate (%),1.5,,1.7,,,,,2.1,,,New South Wales
481,SCHOOL_5,Non-school qualifications - Persons aged 15 years and over - Census,Bachelor degree (%),14.1,,16.0,,,,,18.4,,,New South Wales
482,SCHOOL_6,Non-school qualifications - Persons aged 15 years and over - Census,Advanced diploma/diploma (%),8.3,,8.9,,,,,9.3,,,New South Wales
483,SCHOOL_7,Non-school qualifications - Persons aged 15 years and over - Census,Certificate (%),17.7,,18.1,,,,,18.1,,,New South Wales
484,SCHOOL_9,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification inadequately described (%),1.8,,1.0,,,,,0.8,,,New South Wales
485,SCHOOL_10,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification not stated (%),9.7,,9.6,,,,,8.0,,,New South Wales
486,FIELD_2,Non-school qualification: field of study - Persons aged 15 years and over - Census,Natural and physical sciences (%),2.7,,2.8,,,,,2.9,,,New South Wales
487,FIELD_3,Non-school qualification: field of study - Persons aged 15 years and over - Census,Information technology (%),3.1,,3.4,,,,,4.0,,,New South Wales
488,FIELD_4,Non-school qualification: field of study - Persons aged 15 years and over - Census,Engineering and related technologies (%),14.8,,13.8,,,,,12.9,,,New South Wales
489,FIELD_5,Non-school qualification: field of study - Persons aged 15 years and over - Census,Architecture and building (%),5.4,,5.3,,,,,5.3,,,New South Wales
490,FIELD_6,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Agriculture, environmental and related studies (%)",1.9,,1.8,,,,,1.8,,,New South Wales
491,FIELD_7,Non-school qualification: field of study - Persons aged 15 years and over - Census,Health (%),8.5,,8.8,,,,,9.5,,,New South Wales
492,FIELD_8,Non-school qualification: field of study - Persons aged 15 years and over - Census,Education (%),7.1,,7.1,,,,,7.4,,,New South Wales
493,FIELD_9,Non-school qualification: field of study - Persons aged 15 years and over - Census,Management and commerce (%),20.3,,21.1,,,,,21.8,,,New South Wales
494,FIELD_10,Non-school qualification: field of study - Persons aged 15 years and over - Census,Society and culture (%),10.2,,11.1,,,,,11.8,,,New South Wales
495,FIELD_11,Non-school qualification: field of study - Persons aged 15 years and over - Census,Creative arts (%),3.6,,3.8,,,,,4.2,,,New South Wales
