State,University,Year_Range,Completion_Rate
New South Wales,Charles Sturt University,2005-2013,62.3
New South Wales,Macquarie University,2005-2013,78.9
New South Wales,Southern Cross University,2005-2013,59.3
New South Wales,The University of New England,2005-2013,61.3
New South Wales,The University of Newcastle,2005-2013,77.4
New South Wales,The University of Sydney,2005-2013,89.1
New South Wales,University of New South Wales,2005-2013,82.5
New South Wales,University of Technology Sydney,2005-2013,84.5
New South Wales,University of Wollongong,2005-2013,82.1
New South Wales,Western Sydney University,2005-2013,74.4
Victoria,Deakin University,2005-2013,70.9
Victoria,Federation University Australia(a),2005-2013,67.8
Victoria,La Trobe University,2005-2013,76.3
Victoria,Monash University,2005-2013,81.2
Victoria,RMIT University,2005-2013,75
Victoria,Swinburne University of Technology,2005-2013,71
Victoria,The University of Melbourne,2005-2013,90.1
Victoria,Victoria University,2005-2013,66.3
Queensland,CQUniversity,2005-2013,51.2
Queensland,Griffith University,2005-2013,69.9
Queensland,James Cook University,2005-2013,60.8
Queensland,Queensland University of Technology,2005-2013,74.7
Queensland,The University of Queensland,2005-2013,80.6
Queensland,University of Southern Queensland,2005-2013,52.4
Queensland,University of the Sunshine Coast,2005-2013,56.6
Western Australia,Curtin University,2005-2013,73.8
Western Australia,Edith Cowan University,2005-2013,63.5
Western Australia,Murdoch University,2005-2013,63.5
Western Australia,The University of Western Australia,2005-2013,86.6
South Australia,Flinders University,2005-2013,74.4
South Australia,The University of Adelaide,2005-2013,79.9
South Australia,University of South Australia,2005-2013,68.6
Tasmania,University of Tasmania,2005-2013,69
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2005-2013,52.4
Northern Territory,Charles Darwin University,2005-2013,53.6
Australian Capital Territory,The Australian National University,2005-2013,86.9
Australian Capital Territory,University of Canberra,2005-2013,73.9
Multi-State,Australian Catholic University,2005-2013,79.3
New South Wales,Charles Sturt University,2006-2014,61.3
New South Wales,Macquarie University,2006-2014,77.7
New South Wales,Southern Cross University,2006-2014,60.7
New South Wales,The University of New England,2006-2014,59.5
New South Wales,The University of Newcastle,2006-2014,77
New South Wales,The University of Sydney,2006-2014,88.6
New South Wales,University of New South Wales,2006-2014,81.9
New South Wales,University of Technology Sydney,2006-2014,83.7
New South Wales,University of Wollongong,2006-2014,81
New South Wales,Western Sydney University,2006-2014,73.7
Victoria,Deakin University,2006-2014,71.2
Victoria,Federation University Australia(a),2006-2014,61.4
Victoria,La Trobe University,2006-2014,76.5
Victoria,Monash University,2006-2014,84.3
Victoria,RMIT University,2006-2014,76.2
Victoria,Swinburne University of Technology,2006-2014,71.4
Victoria,The University of Melbourne,2006-2014,90.3
Victoria,Victoria University,2006-2014,66.9
Queensland,CQUniversity,2006-2014,48.2
Queensland,Griffith University,2006-2014,69.9
Queensland,James Cook University,2006-2014,60.6
Queensland,Queensland University of Technology,2006-2014,73
Queensland,The University of Queensland,2006-2014,79.3
Queensland,University of Southern Queensland,2006-2014,49.2
Queensland,University of the Sunshine Coast,2006-2014,55.2
Western Australia,Curtin University,2006-2014,71.9
Western Australia,Edith Cowan University,2006-2014,63.2
Western Australia,Murdoch University,2006-2014,62.2
Western Australia,The University of Western Australia,2006-2014,86.2
South Australia,Flinders University,2006-2014,72.7
South Australia,The University of Adelaide,2006-2014,81.1
South Australia,University of South Australia,2006-2014,68.7
Tasmania,University of Tasmania,2006-2014,67.4
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2006-2014,46.9
Northern Territory,Charles Darwin University,2006-2014,52.1
Australian Capital Territory,The Australian National University,2006-2014,86.6
Australian Capital Territory,University of Canberra,2006-2014,73.3
Multi-State,Australian Catholic University,2006-2014,79.5
New South Wales,Charles Sturt University,2007-2015,60.4
New South Wales,Macquarie University,2007-2015,79.5
New South Wales,Southern Cross University,2007-2015,60.2
New South Wales,The University of New England,2007-2015,57.8
New South Wales,The University of Newcastle,2007-2015,73.6
New South Wales,The University of Sydney,2007-2015,87.4
New South Wales,University of New South Wales,2007-2015,83.6
New South Wales,University of Technology Sydney,2007-2015,84.6
New South Wales,University of Wollongong,2007-2015,81.9
New South Wales,Western Sydney University,2007-2015,71.6
Victoria,Deakin University,2007-2015,72.7
Victoria,Federation University Australia(a),2007-2015,61.2
Victoria,La Trobe University,2007-2015,75.9
Victoria,Monash University,2007-2015,84.9
Victoria,RMIT University,2007-2015,77.2
Victoria,Swinburne University of Technology,2007-2015,72.2
Victoria,The University of Melbourne,2007-2015,91
Victoria,Victoria University,2007-2015,64.9
Queensland,CQUniversity,2007-2015,51.7
Queensland,Griffith University,2007-2015,70.6
Queensland,James Cook University,2007-2015,63.7
Queensland,Queensland University of Technology,2007-2015,74
Queensland,The University of Queensland,2007-2015,78.9
Queensland,University of Southern Queensland,2007-2015,50.5
Queensland,University of the Sunshine Coast,2007-2015,57.6
Western Australia,Curtin University,2007-2015,72.5
Western Australia,Edith Cowan University,2007-2015,64.5
Western Australia,Murdoch University,2007-2015,59.2
Western Australia,The University of Western Australia,2007-2015,86.9
South Australia,Flinders University,2007-2015,71.4
South Australia,The University of Adelaide,2007-2015,80.5
South Australia,University of South Australia,2007-2015,69.8
Tasmania,University of Tasmania,2007-2015,67.4
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2007-2015,33.7
Northern Territory,Charles Darwin University,2007-2015,51.8
Australian Capital Territory,The Australian National University,2007-2015,84.2
Australian Capital Territory,University of Canberra,2007-2015,71
Multi-State,Australian Catholic University,2007-2015,77.5
New South Wales,Charles Sturt University,2008-2016,63.2
New South Wales,Macquarie University,2008-2016,78.7
New South Wales,Southern Cross University,2008-2016,58.9
New South Wales,The University of New England,2008-2016,59.2
New South Wales,The University of Newcastle,2008-2016,71.9
New South Wales,The University of Sydney,2008-2016,86.4
New South Wales,University of New South Wales,2008-2016,83.3
New South Wales,University of Technology Sydney,2008-2016,84.9
New South Wales,University of Wollongong,2008-2016,81.4
New South Wales,Western Sydney University,2008-2016,71.3
Victoria,Deakin University,2008-2016,74.6
Victoria,Federation University Australia(a),2008-2016,58
Victoria,La Trobe University,2008-2016,75.6
Victoria,Monash University,2008-2016,85.7
Victoria,RMIT University,2008-2016,77.6
Victoria,Swinburne University of Technology,2008-2016,70.4
Victoria,The University of Melbourne,2008-2016,91.1
Victoria,Victoria University,2008-2016,67.8
Queensland,CQUniversity,2008-2016,51.3
Queensland,Griffith University,2008-2016,71.9
Queensland,James Cook University,2008-2016,65.7
Queensland,Queensland University of Technology,2008-2016,74.5
Queensland,The University of Queensland,2008-2016,82
Queensland,University of Southern Queensland,2008-2016,51.8
Queensland,University of the Sunshine Coast,2008-2016,62
Western Australia,Curtin University,2008-2016,73.1
Western Australia,Edith Cowan University,2008-2016,64.6
Western Australia,Murdoch University,2008-2016,61.9
Western Australia,The University of Western Australia,2008-2016,87
South Australia,Flinders University,2008-2016,71.5
South Australia,The University of Adelaide,2008-2016,79.5
South Australia,University of South Australia,2008-2016,69.8
Tasmania,University of Tasmania,2008-2016,65.9
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2008-2016,32.3
Northern Territory,Charles Darwin University,2008-2016,51
Australian Capital Territory,The Australian National University,2008-2016,85
Australian Capital Territory,University of Canberra,2008-2016,69.7
Multi-State,Australian Catholic University,2008-2016,77.9
New South Wales,Charles Sturt University,2009-2017,61.4
New South Wales,Macquarie University,2009-2017,78.3
New South Wales,Southern Cross University,2009-2017,58.9
New South Wales,The University of New England,2009-2017,58.7
New South Wales,The University of Newcastle,2009-2017,71.2
New South Wales,The University of Sydney,2009-2017,86.9
New South Wales,University of New South Wales,2009-2017,85.3
New South Wales,University of Technology Sydney,2009-2017,85
New South Wales,University of Wollongong,2009-2017,81.8
New South Wales,Western Sydney University,2009-2017,70.4
Victoria,Deakin University,2009-2017,75.9
Victoria,Federation University Australia(a),2009-2017,57.6
Victoria,La Trobe University,2009-2017,75.8
Victoria,Monash University,2009-2017,85.1
Victoria,RMIT University,2009-2017,80
Victoria,Swinburne University of Technology,2009-2017,72.1
Victoria,The University of Melbourne,2009-2017,92.1
Victoria,Victoria University,2009-2017,63.9
Queensland,CQUniversity,2009-2017,50.1
Queensland,Griffith University,2009-2017,71.5
Queensland,James Cook University,2009-2017,65.7
Queensland,Queensland University of Technology,2009-2017,76.6
Queensland,The University of Queensland,2009-2017,80.9
Queensland,University of Southern Queensland,2009-2017,53.7
Queensland,University of the Sunshine Coast,2009-2017,60
Western Australia,Curtin University,2009-2017,72.7
Western Australia,Edith Cowan University,2009-2017,62.9
Western Australia,Murdoch University,2009-2017,60
Western Australia,The University of Western Australia,2009-2017,85.8
South Australia,Flinders University,2009-2017,68.1
South Australia,The University of Adelaide,2009-2017,78.6
South Australia,University of South Australia,2009-2017,71.7
Tasmania,University of Tasmania,2009-2017,69.1
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2009-2017,39.8
Northern Territory,Charles Darwin University,2009-2017,50.5
Australian Capital Territory,The Australian National University,2009-2017,86.4
Australian Capital Territory,University of Canberra,2009-2017,71.2
Multi-State,Australian Catholic University,2009-2017,74.7
New South Wales,Charles Sturt University,2010-2018,61.8
New South Wales,Macquarie University,2010-2018,76
New South Wales,Southern Cross University,2010-2018,62.3
New South Wales,The University of New England,2010-2018,57.2
New South Wales,The University of Newcastle,2010-2018,70.8
New South Wales,The University of Sydney,2010-2018,87.6
New South Wales,University of New South Wales,2010-2018,86.7
New South Wales,University of Technology Sydney,2010-2018,84.6
New South Wales,University of Wollongong,2010-2018,80.7
New South Wales,Western Sydney University,2010-2018,68.7
Victoria,Deakin University,2010-2018,76.7
Victoria,Federation University Australia(a),2010-2018,43.6
Victoria,La Trobe University,2010-2018,76.5
Victoria,Monash University,2010-2018,85.5
Victoria,RMIT University,2010-2018,79.5
Victoria,Swinburne University of Technology,2010-2018,70.4
Victoria,The University of Melbourne,2010-2018,91.5
Victoria,Victoria University,2010-2018,62.9
Queensland,CQUniversity,2010-2018,53.6
Queensland,Griffith University,2010-2018,69.6
Queensland,James Cook University,2010-2018,63.8
Queensland,Queensland University of Technology,2010-2018,75.7
Queensland,The University of Queensland,2010-2018,81.7
Queensland,University of Southern Queensland,2010-2018,53.5
Queensland,University of the Sunshine Coast,2010-2018,62.5
Western Australia,Curtin University,2010-2018,71
Western Australia,Edith Cowan University,2010-2018,61.1
Western Australia,Murdoch University,2010-2018,60.5
Western Australia,The University of Western Australia,2010-2018,84.6
South Australia,Flinders University,2010-2018,68.8
South Australia,The University of Adelaide,2010-2018,76.4
South Australia,University of South Australia,2010-2018,70.8
Tasmania,University of Tasmania,2010-2018,67
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2010-2018,23.8
Northern Territory,Charles Darwin University,2010-2018,49.2
Australian Capital Territory,The Australian National University,2010-2018,87.4
Australian Capital Territory,University of Canberra,2010-2018,66.4
Multi-State,Australian Catholic University,2010-2018,73.7
New South Wales,Charles Sturt University,2011-2019,61.8
